Gene ID,Gene symbol,Enzyme,UniProt,Enzymatic reactions
ENSG00000167306,MYO5B,propionyl-CoA C2-trimethyltridecanoyltransferase,Q9ULV0,"3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl coa[p] + CoA[p] => chenodeoxycholoyl-CoA[p] + propanoyl-CoA[p]"
ENSG00000167306,MYO5B,acetyl-CoA C-acyltransferase,Q9ULV0,3-oxohexacosanoyl-CoA[p] + CoA[p] => acetyl-CoA[p] + tetracosanoyl-CoA[p]
ENSG00000167306,MYO5B,acetyl-CoA C-acyltransferase,Q9ULV0,3-oxo-dihomo-gamma-linolenoyl-CoA[p] + CoA[p] => acetyl-CoA[p] + gamma-linolenoyl-CoA[p]
ENSG00000167306,MYO5B,acetyl-CoA C-acyltransferase,Q9ULV0,3-oxopalmitoleoyl-CoA[p] + CoA[p] => (7Z)-tetradecenoyl-CoA[p] + acetyl-CoA[p]
ENSG00000167306,MYO5B,acetyl-CoA C-acyltransferase,Q9ULV0,3-oxotetradecanoyl-CoA[p] + CoA[p] => acetyl-CoA[p] + lauroyl-CoA[p]
ENSG00000167306,MYO5B,acetyl-CoA C-acyltransferase,Q9ULV0,3-oxo-7-hexadecenoyl-CoA[p] + CoA[p] => 5-tetradecenoyl-CoA[p] + acetyl-CoA[p]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,H2O[m] + dGDP[m] + mitooxidized thioredoxin[m] => GDP[m] + mitothioredoxin[m]
ENSG00000167325,RRM1,5-formyltetrahydrofolate cyclo-ligase,P23921,"5-formyl-THF[m] + ATP[m] + H+[m] => 5,10-methenyl-THF[m] + ADP[m] + Pi[m]"
ENSG00000167325,RRM1,dihydrofolate reductase,P23921,H+[c] + NADH[c] + folate[c] <=> NAD+[c] + dihydrofolate[c]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,H2O[m] + dADP[m] + mitooxidized thioredoxin[m] => ADP[m] + mitothioredoxin[m]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,UDP[c] + thioredoxin[c] => H2O[c] + dUDP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,ATP[c] + thioredoxin[c] => H2O[c] + dATP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,UTP[n] + thioredoxin[n] => H2O[n] + dUTP[n] + oxidized thioredoxin[n]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,GDP[c] + thioredoxin[c] => H2O[c] + dGDP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,GTP[c] + thioredoxin[c] => H2O[c] + dGTP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,"Electrogenic HCO3-:Na+ symporter, NBCe2",P23921,HCO3-[c] + 2 Na+[c] => HCO3-[s] + 2 Na+[s]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,UTP[c] + thioredoxin[c] => H2O[c] + dUTP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,ADP[c] + thioredoxin[c] => H2O[c] + dADP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,H2O[m] + dUTP[m] + oxidized thioredoxin[m] <=> UTP[m] + thioredoxin[m]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,CTP[c] + thioredoxin[c] => H2O[c] + dCTP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,ribonucleoside-diphosphate reductase,P23921,CDP[c] + thioredoxin[c] => H2O[c] + dCDP[c] + oxidized thioredoxin[c]
ENSG00000167325,RRM1,5-aminolevulinate synthase,P23921,2-amino-3-oxoadipate[m] <=> 5-aminolevulinate[m] + CO2[m]
ENSG00000167325,RRM1,NTTA aka SLC6A6,P23921,2 Na+[s] + chloride[s] + taurine[s] => 2 Na+[c] + chloride[c] + taurine[c]
ENSG00000167657,DAPK3,non-specific serine/threonine protein kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,Fas-activated serine/threonine kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,Goodpasture-antigen-binding protein kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,IkappaB kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,cAMP-dependent protein kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,cGMP-dependent protein kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,protein kinase C,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,Ca2+/calmodulin-dependent protein kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,polo kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,cyclin-dependent kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,mitogen-activated protein kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,mitogen-activated protein kinase kinase kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,receptor protein serine/threonine kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,dual-specificity kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,mitogen-activated protein kinase kinase,O43293,ATP[c] + [protein][c] => ADP[c] + phosphoprotein[c]
ENSG00000167657,DAPK3,non-specific serine/threonine protein kinase,O43293,ATP[c] + protamine[c] => ADP[c] + O-phosphoprotamine[c]
ENSG00000167658,EEF2,heterotrimeric G-protein GTPase,P13639,GTP[s] + H2O[s] => GDP[s] + Pi[s]
ENSG00000167658,EEF2,small monomeric GTPase,P13639,GTP[s] + H2O[s] => GDP[s] + Pi[s]
ENSG00000167658,EEF2,protein-synthesizing GTPase,P13639,GTP[s] + H2O[s] => GDP[s] + Pi[s]
ENSG00000167658,EEF2,signal-recognition-particle GTPase,P13639,GTP[s] + H2O[s] => GDP[s] + Pi[s]
ENSG00000167658,EEF2,dynamin GTPase,P13639,GTP[s] + H2O[s] => GDP[s] + Pi[s]
ENSG00000167658,EEF2,tubulin GTPase,P13639,GTP[s] + H2O[s] => GDP[s] + Pi[s]
ENSG00000167900,TK1,thymidine kinase,P04183,ATP[m] + thymidine[m] => ADP[m] + dTMP[m]
ENSG00000167900,TK1,thymidine kinase,P04183,ATP[c] + deoxyuridine[c] => ADP[c] + dUMP[c]
ENSG00000167900,TK1,thymidine kinase,P04183,dGTP[m] + deoxyuridine[m] => dGDP[m] + dUMP[m]
ENSG00000167900,TK1,thymidine kinase,P04183,dGTP[c] + deoxyuridine[c] => dGDP[c] + dUMP[c]
ENSG00000167900,TK1,thymidine kinase,P04183,ATP[c] + thymidine[c] => ADP[c] + dTMP[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + pyruvate[s] <=> 2-hydroxybutyrate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + AKG[s] <=> (R)-3-hydroxybutanoate[s] + AKG[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + acetate[s] <=> AKG[s] + acetate[c]
ENSG00000168679,SLC16A4,Low affinity monocarboxylate transporter-2 (MCT2),O15374,2-oxobutyrate[m] + H+[c] => 2-oxobutyrate[c] + H+[m]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-oxobutyrate[m] + H+[c] => 2-oxobutyrate[c] + H+[m]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetate[c] + propanoate[s] <=> acetate[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetate[c] + butyrate[s] <=> acetate[s] + butyrate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetoacetate[c] + retinoate[s] <=> acetoacetate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,butyrate[c] + pyruvate[s] <=> butyrate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetoacetate[c] + butyrate[s] <=> acetoacetate[s] + butyrate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + propanoate[s] <=> (R)-3-hydroxybutanoate[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,H+[c] + pyruvate[c] <=> H+[p] + pyruvate[p]
ENSG00000168679,SLC16A4,Low affinity monocarboxylate transporter-2 (MCT2),O15374,H+[c] + pyruvate[c] <=> H+[p] + pyruvate[p]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + acetoacetate[s] <=> (R)-3-hydroxybutanoate[s] + acetoacetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,L-lactate[c] + propanoate[s] <=> L-lactate[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,L-lactate[c] + acetate[s] <=> L-lactate[s] + acetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,propanoate[c] + pyruvate[s] <=> propanoate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetate[c] + retinoate[s] <=> acetate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetate[c] + formate[s] <=> acetate[s] + formate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,L-lactate[c] + retinoate[s] <=> L-lactate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,L-lactate[c] + pyruvate[s] <=> L-lactate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + acetate[s] <=> (R)-3-hydroxybutanoate[s] + acetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + formate[s] <=> 2-hydroxybutyrate[s] + formate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,formate[c] + propanoate[s] <=> formate[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + propanoate[s] <=> 2-hydroxybutyrate[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + acetoacetate[s] <=> 2-hydroxybutyrate[s] + acetoacetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetoacetate[c] + formate[s] <=> acetoacetate[s] + formate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,butyrate[c] + retinoate[s] <=> butyrate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + pyruvate[s] <=> (R)-3-hydroxybutanoate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,L-lactate[c] + butyrate[s] <=> L-lactate[s] + butyrate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetoacetate[c] + propanoate[s] <=> acetoacetate[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + acetate[s] <=> 2-hydroxybutyrate[s] + acetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,L-lactate[c] + acetoacetate[s] <=> L-lactate[s] + acetoacetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,formate[c] + retinoate[s] <=> formate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[s] + H+[s] => (R)-3-hydroxybutanoate[c] + H+[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + pyruvate[s] <=> AKG[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + 2-hydroxybutyrate[s] <=> (R)-3-hydroxybutanoate[s] + 2-hydroxybutyrate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + retinoate[s] <=> AKG[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetate[c] + pyruvate[s] <=> acetate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,pyruvate[c] + retinoate[s] <=> pyruvate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + formate[s] <=> (R)-3-hydroxybutanoate[s] + formate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + propanoate[s] <=> AKG[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + AKG[s] <=> 2-hydroxybutyrate[s] + AKG[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,butyrate[c] + propanoate[s] <=> butyrate[s] + propanoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + butyrate[s] <=> 2-hydroxybutyrate[s] + butyrate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,H+[s] + L-lactate[s] => H+[c] + L-lactate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,propanoate[c] + retinoate[s] <=> propanoate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + retinoate[s] <=> 2-hydroxybutyrate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + L-lactate[s] <=> AKG[s] + L-lactate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-hydroxybutyrate[c] + L-lactate[s] <=> 2-hydroxybutyrate[s] + L-lactate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + butyrate[s] <=> (R)-3-hydroxybutanoate[s] + butyrate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + L-lactate[s] <=> (R)-3-hydroxybutanoate[s] + L-lactate[c]
ENSG00000168679,SLC16A4,Low affinity monocarboxylate transporter-2 (MCT2),O15374,2-oxobutyrate[c] + H+[c] => 2-oxobutyrate[m] + H+[m]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,2-oxobutyrate[c] + H+[c] => 2-oxobutyrate[m] + H+[m]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetate[c] + acetoacetate[s] <=> acetate[s] + acetoacetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + formate[s] <=> AKG[s] + formate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,formate[c] + pyruvate[s] <=> formate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,L-lactate[c] + formate[s] <=> L-lactate[s] + formate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,butyrate[c] + formate[s] <=> butyrate[s] + formate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,(R)-3-hydroxybutanoate[c] + retinoate[s] <=> (R)-3-hydroxybutanoate[s] + retinoate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,H+[s] + acetate[s] => H+[c] + acetate[c]
ENSG00000168679,SLC16A4,Low affinity monocarboxylate transporter-2 (MCT2),O15374,H+[s] + acetate[s] => H+[c] + acetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + butyrate[s] <=> AKG[s] + butyrate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,H+[s] + pyruvate[s] => H+[c] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,H+[s] + acetoacetate[s] => H+[c] + acetoacetate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,acetoacetate[c] + pyruvate[s] <=> acetoacetate[s] + pyruvate[c]
ENSG00000168679,SLC16A4,The low affinity proton-linked monocarboxylate,O15374,AKG[c] + acetoacetate[s] <=> AKG[s] + acetoacetate[c]
ENSG00000168906,MAT2A,methionine adenosyltransferase,P31153,ATP[c] + H2O[c] + methionine[c] => PPi[c] + Pi[c] + SAM[c]
ENSG00000168906,MAT2A,methionine adenosyltransferase,P31153,ATP[c] + H+[c] + H2O[c] + selenomethionine[c] <=> PPi[c] + Pi[c] + se-adenosylselenomethionine[c]
ENSG00000169021,UQCRFS1,quinol-cytochrome-c reductase,P47985,2 H+[m] + 2 ferricytochrome C[m] + ubiquinol[m] => 4 H+[c] + 2 ferrocytochrome C[m] + ubiquinone[m]
ENSG00000169021,UQCRFS1,aldehyde dehydrogenase [NAD(P)+],P47985,H+[m] + NADPH[m] + phenylacetate[m] <=> H2O[m] + NADP+[m] + phenylacetaldehyde[m]
ENSG00000169410,PTPN9,protein-tyrosine-phosphatase,P43378,H2O[c] + [protein]-tyrosine-phosphate[c] => Pi[c] + [protein]-L-tyrosine[c]
ENSG00000169418,NPR1,adenylate cyclase,P16066,ATP[c] => PPi[c] + cAMP[c]
ENSG00000169418,NPR1,adenylate cyclase,P16066,GTP[c] => PPi[c] + cGMP[c]
ENSG00000169418,NPR1,guanylate cyclase,P16066,GTP[c] => PPi[c] + cGMP[c]
ENSG00000169919,GUSB,beta-glucuronidase,P08236,H2O[c] + alpha-CEHC-glucuronide[c] => 3-carboxy-alpha-chromanol[c] + glucuronate[c]
ENSG00000169919,GUSB,beta-glucuronidase,P08236,"H2O[l] + chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 3[l] => chondroitin sulfate D (GlcNAc6S-GlcA2S), degradation product 4[l] + glucuronate[l]"
ENSG00000169919,GUSB,beta-glucuronidase,P08236,"H2O[l] + chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 3[l] => chondroitin sulfate E (GalNAc4,6diS-GlcA), degradation product 4[l] + glucuronate[l]"
ENSG00000169919,GUSB,beta-glucuronidase,P08236,H2O[l] + hyaluronate[l] => glucuronate[l] + hyaluronan degradation product 1[l]
ENSG00000169919,GUSB,beta-glucuronidase,P08236,H2O[c] + gamma-CEHC-glucuronide[c] <=> gamma-carboxyethyl-hydroxychroman[c] + glucuronate[c]
ENSG00000169919,GUSB,beta-glucuronidase,P08236,"H2O[l] + chondroitin sulfate A (GalNAc4S-GlcA), degradation product 2[l] => chondroitin sulfate A (GalNAc4S-GlcA), degradation product 3[l] + glucuronate[l]"
ENSG00000169919,GUSB,beta-glucuronidase,P08236,"H2O[l] + chondroitin sulfate C (GalNAc6S-GlcA), degradation product 2[l] => chondroitin sulfate C (GalNAc6S-GlcA), degradation product 3[l] + glucuronate[l]"
ENSG00000169919,GUSB,beta-glucuronidase,P08236,"H2O[l] + heparan sulfate, degradation product 9[l] => glucuronate[l] + heparan sulfate, degradation product 10[l]"
ENSG00000170266,GLB1,beta-galactosidase,P16278,H2O[s] + lactose-6-phosphate[s] => Pi[s] + lactose[s]
ENSG00000170266,GLB1,exo-alpha-sialidase,P16278,GM3[c] + H2O[c] => LacCer pool[c] + N-acetylneuraminate[c]
ENSG00000170266,GLB1,sphinganine-1-phosphate aldolase,P16278,sphingosine-1-phosphate[c] => ethanolamine-phosphate[c] + hexadecenal[c]
ENSG00000170266,GLB1,beta-galactosidase,P16278,galactose[s] + glucosylceramide pool[s] => H2O[s] + LacCer pool[s]
ENSG00000170266,GLB1,beta-galactosidase,P16278,3-keto-beta-D-galactose[s] + glucose[s] <=> 3-ketolactose[s] + H2O[s]
ENSG00000170266,GLB1,beta-galactosidase,P16278,GA1[c] + H2O[c] => GA2[c] + galactose[c]
ENSG00000170266,GLB1,beta-galactosidase,P16278,H2O[s] + lactose[s] => galactose[s] + glucose[s]
ENSG00000170266,GLB1,lactase,P16278,H2O[s] + lactose[s] => galactose[s] + glucose[s]
ENSG00000170266,GLB1,beta-galactosidase,P16278,GM1[c] + H2O[c] => GM2[c] + galactose[c]
ENSG00000170266,GLB1,alpha-galactosidase,P16278,H2O[s] + galactosylglycerol[s] => galactose[s] + glycerol[s]
ENSG00000170266,GLB1,beta-galactosidase,P16278,H2O[s] + galactosylglycerol[s] => galactose[s] + glycerol[s]
ENSG00000170836,PPM1D,protein-serine/threonine phosphatase,O15297,H2O[c] + phosphoprotein[c] => Pi[c] + [protein][c]
ENSG00000171004,HS6ST2,Sulfotransferases,Q96MM7,6-hydroxymelatonin-sulfate[c] + 2 H+[c] <=> 6-hydroxymelatonin[c] + sulfite[c]
ENSG00000171004,HS6ST2,Sulfotransferases,Q96MM7,"3,3-diiodo-L-thyronine[c] + PAPS[c] => 3,3-diiodo-L-thyronine-4-O-sulfate[c] + PAP[c]"
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,3-isoLM1[c] + GDP-L-fucose[c] => GDP[c] + fuc-3-isoLM1[c]
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,G00084[c] + GDP-L-fucose[c] => G00085[c] + GDP[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,G00084[c] + GDP-L-fucose[c] => G00085[c] + GDP[c]
ENSG00000171124,FUT3,Hexosyltransferases,P21217,G00084[c] + GDP-L-fucose[c] => G00085[c] + GDP[c]
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + nLc6Cer[c] => GDP[c] + V3Fuc-nLc6Cer[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + nLc6Cer[c] => GDP[c] + V3Fuc-nLc6Cer[c]
ENSG00000171124,FUT3,Hexosyltransferases,P21217,GDP-L-fucose[c] + nLc6Cer[c] => GDP[c] + V3Fuc-nLc6Cer[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,"GDP-L-fucose[c] + IV2Fuc-Lc4Cer[c] => GDP[c] + IV2Fuc,III4Fuc-Lc4Cer[c]"
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + paragloboside[c] => GDP[c] + III3Fuc-nLc4Cer[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + paragloboside[c] => GDP[c] + III3Fuc-nLc4Cer[c]
ENSG00000171124,FUT3,Hexosyltransferases,P21217,GDP-L-fucose[c] + paragloboside[c] => GDP[c] + III3Fuc-nLc4Cer[c]
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + nLc8Cer[c] => G00084[c] + GDP[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + nLc8Cer[c] => G00084[c] + GDP[c]
ENSG00000171124,FUT3,Hexosyltransferases,P21217,GDP-L-fucose[c] + nLc8Cer[c] => G00084[c] + GDP[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + type I A glycolipid[c] => fucacgalfucgalacglcgalgluside heparan sulfate[c] + GDP[c]
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,"GDP-L-fucose[c] + V3Fuc-nLc6Cer[c] => GDP[c] + V3Fuc,III3Fuc-nLc6Cer[c]"
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,"GDP-L-fucose[c] + V3Fuc-nLc6Cer[c] => GDP[c] + V3Fuc,III3Fuc-nLc6Cer[c]"
ENSG00000171124,FUT3,Hexosyltransferases,P21217,"GDP-L-fucose[c] + V3Fuc-nLc6Cer[c] => GDP[c] + V3Fuc,III3Fuc-nLc6Cer[c]"
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + nLc6Cer[c] => GDP[c] + III3Fuc-nLc6Cer[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + nLc6Cer[c] => GDP[c] + III3Fuc-nLc6Cer[c]
ENSG00000171124,FUT3,Hexosyltransferases,P21217,GDP-L-fucose[c] + nLc6Cer[c] => GDP[c] + III3Fuc-nLc6Cer[c]
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,G00085[c] + GDP-L-fucose[c] => G00086[c] + GDP[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,G00085[c] + GDP-L-fucose[c] => G00086[c] + GDP[c]
ENSG00000171124,FUT3,Hexosyltransferases,P21217,G00085[c] + GDP-L-fucose[c] => G00086[c] + GDP[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[g] + type I A glycolipid[g] => GDP[g] + fucacgalfucgalacglcgalgluside heparan sulfate[g]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,GDP-L-fucose[c] + lc4Cer[c] => GDP[c] + fuc-Lc4Cer[c]
ENSG00000171124,FUT3,4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase,P21217,G00081[c] + GDP-L-fucose[c] => G00082[c] + GDP[c]
ENSG00000171124,FUT3,3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase,P21217,G00081[c] + GDP-L-fucose[c] => G00082[c] + GDP[c]
ENSG00000171124,FUT3,Hexosyltransferases,P21217,G00081[c] + GDP-L-fucose[c] => G00082[c] + GDP[c]
